po_number,supplier_name,supplier_code,material_code,material_description,quantity,unit_price,total_price,currency,purchase_date,delivery_date
PO-2024-001,ABC Manufacturing Inc,SUP-001,MAT-ST-001,Steel Plate 10mm,100,45.50,4550.00,USD,2024-01-15,2024-02-01
PO-2024-002,XYZ Electronics Ltd,SUP-002,MAT-EL-001,Circuit Board PCB-A,500,12.75,6375.00,USD,2024-01-16,2024-01-30
PO-2024-003,Global Supplies Corp,SUP-003,MAT-CH-001,Industrial Adhesive,50,89.99,4499.50,USD,2024-01-17,2024-02-05
PO-2024-004,ABC Manufacturing Inc,SUP-001,MAT-ST-002,Aluminum Sheet 5mm,200,32.25,6450.00,USD,2024-01-18,2024-02-10
PO-2024-005,Tech Components Asia,SUP-004,MAT-EL-002,Microcontroller Unit,1000,8.50,8500.00,USD,2024-01-19,2024-02-15
PO-2024-006,XYZ Electronics Ltd,SUP-002,MAT-EL-003,LED Display Module,250,24.99,6247.50,USD,2024-01-20,2024-02-01
PO-2024-007,Industrial Parts Co,SUP-005,MAT-ME-001,Hydraulic Pump,10,450.00,4500.00,USD,2024-01-21,2024-03-01
PO-2024-008,Global Supplies Corp,SUP-003,MAT-PL-001,PVC Pipe 2inch,300,4.50,1350.00,USD,2024-01-22,2024-01-28
PO-2024-009,ABC Manufacturing Inc,SUP-001,MAT-ST-003,Stainless Steel Rod,150,28.75,4312.50,USD,2024-01-23,2024-02-20
PO-2024-010,Tech Components Asia,SUP-004,MAT-EL-004,Capacitor 100uF,5000,0.45,2250.00,USD,2024-01-24,2024-02-05
PO-2024-011,Quality Fasteners Ltd,SUP-006,MAT-FA-001,Hex Bolt M10x50,2000,0.35,700.00,USD,2024-01-25,2024-01-31
PO-2024-012,XYZ Electronics Ltd,SUP-002,MAT-EL-005,Power Supply 24V,100,35.00,3500.00,USD,2024-01-26,2024-02-10
PO-2024-013,Industrial Parts Co,SUP-005,MAT-ME-002,Ball Bearing 6205,500,3.25,1625.00,USD,2024-01-27,2024-02-08
PO-2024-014,Global Supplies Corp,SUP-003,MAT-CH-002,Epoxy Resin,25,125.50,3137.50,USD,2024-01-28,2024-02-15
PO-2024-015,ABC Manufacturing Inc,SUP-001,MAT-ST-001,Steel Plate 10mm,150,44.00,6600.00,USD,2024-01-29,2024-02-25
PO-2024-016,Tech Components Asia,SUP-004,MAT-EL-006,Resistor Kit,1000,15.99,15990.00,USD,2024-01-30,2024-02-20
PO-2024-017,Quality Fasteners Ltd,SUP-006,MAT-FA-002,Washer M10,5000,0.08,400.00,USD,2024-01-31,2024-02-05
PO-2024-018,XYZ Electronics Ltd,SUP-002,MAT-EL-001,Circuit Board PCB-A,300,12.50,3750.00,USD,2024-02-01,2024-02-15
PO-2024-019,Industrial Parts Co,SUP-005,MAT-ME-003,Pneumatic Cylinder,20,185.00,3700.00,USD,2024-02-02,2024-03-01
PO-2024-020,Global Supplies Corp,SUP-003,MAT-PL-002,ABS Sheet 3mm,100,22.50,2250.00,USD,2024-02-03,2024-02-12
